YawAngle,WindSpeed,BldPitch1_diff,BldPitch1_pct_diff,RtTSR_diff,RtTSR_pct_diff,GenPwr_diff,GenPwr_pct_diff,RtAeroCp_diff,RtAeroCp_pct_diff,RtAeroCt_diff,RtAeroCt_pct_diff,B1RootMyr_diff,B1RootMyr_pct_diff,RotSpeed_diff,RotSpeed_pct_diff,RotTorq_diff,RotTorq_pct_diff,RtAeroFxh_diff,RtAeroFxh_pct_diff,YawBrMzp_diff,YawBrMzp_pct_diff,TwrBsMyt_diff,TwrBsMyt_pct_diff
30,4,0.0,,0.042866938075851735,0.3138407274779747,14.79242554103277,15.663108558566705,0.05092056995928873,15.60252246786183,0.011032711949146234,1.0675837335041378,39821.7984429684,2.1452441217744695,0.022720662809799563,0.3220045324705015,20.663688307977992,15.274746584882399,1007.873009070754,1.1010211865528254,-793.7771243779016,-2184.353350511429,52.46010999214286,0.7838410754733091
-30,6,0.0,,0.02753881865580965,0.28213117400895776,16.199885722448414,3.658075677359273,0.01658825798157265,3.6306892557127615,0.00031521319905725154,0.03514422682474493,-49914.434683237225,-1.6637004944879483,0.02182651239197142,0.2887530246650828,19.861488465109574,3.354356512025638,81.57988715090323,0.04568231529267682,839.6766681551317,7075.608890471103,-252.6226698092978,-1.8383394160517441
-20,6,0.0,,0.00744396584878082,0.08081311155263042,4.91221444504265,0.8460896996017632,0.004081532189831594,0.8665601125208736,-0.0007970771479117733,-0.0913298019460609,33412.42981309118,0.9874260842604161,0.00639220059995349,0.08256496485740356,5.7575109606951855,0.7591622102099435,-182.48596261825878,-0.08914825111797853,552.1745812894009,2071.4867839162666,-258.0439966156446,-1.5003406683808516
-15,6,0.0,,0.0012182909007005804,0.013471574017728628,0.9055688023997845,0.14262075883648456,0.0008431197600184959,0.17739472603573825,-0.0009801169140835064,-0.11333067684032694,24261.97984770406,0.6922142585164716,0.0011246057995535352,0.014395329033246593,1.0436274132757717,0.12694329943299532,-237.74325051918277,-0.11094951737731318,408.69003366533343,1433.736716576551,-252.8859318513969,-1.3604354790476876
-10,6,0.0,,-0.0024266311140745955,-0.027163732564750638,-1.6943588034330332,-0.25025021329233815,-0.0010266977751853812,-0.21462625664679666,-0.000817540204982925,-0.09515519681379286,-15341.554870427586,-0.4320999722101788,-0.0021294058828429385,-0.027072210319428778,-1.9484042996415383,-0.22380977535910834,-213.9738355136651,-0.0967567589563961,263.5162802813933,895.8694841793111,-229.5067077743588,-1.1677659276962393
-5,6,0.0,,-0.00408140988250949,-0.0460210377618549,-2.9359386717774214,-0.41749103318859304,-0.0018375218731773169,-0.3824716659711891,-0.0004383134738770167,-0.05124618631076118,-5598.200149987824,-0.15521760475930085,-0.0036764436296961023,-0.046544803907327605,-3.3484459628363084,-0.3718328597845759,-122.86476126985508,-0.05454407442347638,115.62512950437463,453.9137738289058,-195.46871094075686,-0.9615054740542772
0,6,0.0,,-0.004137442050723195,-0.04675348719527608,-2.840187255704109,-0.3983106881498666,-0.0017695391328061971,-0.36726852882436345,4.302336151262853e-05,0.005040892791642875,-7110.080901735928,-0.1938463438732653,-0.0035517680210865876,-0.044896128939749126,-3.2218071084446365,-0.35338195386556864,14.762294336862396,0.006518896188698571,-32.902187992091626,-185.9992496199408,-154.46777565675802,-0.7502316963421624
5,6,0.0,,-0.0019505874510468146,-0.021984328870921367,-1.3648779268394264,-0.19332668787474117,-0.0008009499208398996,-0.16602942197088086,0.0007415298725106378,0.08690046420966298,19557.370219147764,0.5428192046265036,-0.0017364386301137458,-0.021974037483322485,-1.5592950587450787,-0.17252882929991015,190.16748604283202,0.08462251782877749,-180.16952941246564,-1111.547532410702,-102.50895758686966,-0.5017382875732413
10,6,0.0,,0.0020648279310062634,0.023092557973089737,1.500466627780952,0.219857762206906,0.0011584451295725273,0.2401290757041935,0.0016848262644776346,0.19700420822755235,33852.678943421226,0.9554700298200698,0.001878676776933652,0.023863274466088612,1.705782851429035,0.19450909705889874,432.1139905008022,0.196314579709713,-327.4880521181568,-2880.65465163359,-43.295558703437564,-0.21805482539307983
15,6,0.0,,0.00806161064533839,0.08903145005459967,5.570609953080407,0.8661929243734271,0.004286147219444647,0.8902062408626723,0.0029219829243906092,0.34016691672643207,-27029.53618952399,-0.7772126611543387,0.0070827628643961305,0.0905397250356583,6.452980539958389,0.7758488533328911,728.6516421813576,0.3423060330552978,-474.0692575930313,-7101.961237090234,19.943081301436905,0.10544437516398666
20,6,0.0,,0.016018690869932684,0.17361670356434886,10.72900546111839,1.8152411188100002,0.008747642489039309,1.8232317690930817,0.004485362664410464,0.518385026299771,-32705.48419352388,-0.9764326465301234,0.013834705022689242,0.17837988577437625,12.593969694638872,1.633835984038571,1072.0636874086922,0.5281369258421325,-619.3134622065226,-7805.938239763385,87.38327820936684,0.49660925515080284
30,6,0.0,,0.03950517820155852,0.4037087261306434,23.45544603956853,5.136876372432182,0.02393889722162701,5.071391460804979,0.00887823012641964,1.0014134044922018,90146.48953646189,3.0247814563937143,0.03147875151775015,0.4154105480653248,28.62729090779237,4.699479531293846,1812.8205128205009,1.0270048795204445,-901.8483184463038,-4420.990609301262,208.42296978787272,1.4716621335305982
-30,8,0.0,,0.024415898864367236,0.300858503776215,22.617813013356454,2.043753486692315,0.0099205556745946,2.050161780221689,-0.0006020141418470182,-0.07348161255768486,-15663.952574816532,-0.34851132898996257,0.025374401828440085,0.3028897737574002,23.13263338332945,1.7320934650211859,-175.9945718162926,-0.060728960961511216,951.4351353474752,733.5273807325722,-299.6693093350477,-1.3130524423569716
-20,8,0.0,,0.006306822552113012,0.0810778209339357,6.7475578801631855,0.47632966019682704,0.002486693331282208,0.5117011140647854,-0.0011171371432966426,-0.13972979646344424,16566.648719329387,0.32760351042243374,0.007142604415044218,0.08194204183373256,6.512114452734295,0.39618313877242173,-438.47396354126977,-0.1316199330014239,642.172679793862,506.6485127195046,-313.1682178293995,-1.094601296820928
-15,8,0.0,,0.0012211368356274122,0.01590602102407282,1.3993538958543468,0.09099019518505856,0.000619452349819305,0.1273835521206136,-0.0008646642565957041,-0.10906658071608304,8637.258672409691,0.16431907673320043,0.0014508883932009553,0.01640581824434281,1.3154372740557392,0.07477728376129066,-373.20206137991045,-0.10692409546171376,474.93984001230683,436.41478370059065,-307.3940466117965,-0.9942258758054339
-10,8,0.0,,-0.0019006749437542325,-0.024966951899218347,-2.080326639446639,-0.12755611005058007,-0.0004291892342306314,-0.08818449496852228,-0.00031174068827599655,-0.0395658647859968,-21082.659778351896,-0.39187838615673076,-0.0021017415215407453,-0.023512209984897656,-1.905424547954226,-0.10325179720979782,-150.1541538205347,-0.041667255334194554,300.8505681194068,359.6242696644322,-272.03566369469263,-0.8324684258294157
-5,8,0.0,,-0.00622073160569947,-0.08198856113781665,-3.9988334305473927,-0.2367189169786422,-0.0010093658861761723,-0.20726143218310508,-0.00017806016165311522,-0.02268285612664258,-11637.196900258772,-0.21228479256366564,-0.007114157153569778,-0.07893741878014446,-2.99108407632707,-0.15776924068542933,-100.22498125152197,-0.027281938648924257,127.25533012490624,239.5946962590179,-238.68844262978382,-0.7053549528586834
